SYM	MKT	EFD	VAL	VAD	VOL	TRD	OPN	CLS	AVG	LOW	HIG	CLA	CLP	CAA	CAP	UTI	ISI	RPR	RPT	PMK	CRF
RETZ	XRS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:11.83	RORETZACNOR1	20.000000	1	1	20.000000
REVA	XDS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:14.21	ROREVAACNOR0	7.700000	1	0	7.700000
REVA	XRS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:11.427	ROREVAACNOR0	7.700000	1	1	7.700000
RMAH	BUY-IN	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:12.671	RORMAHACNOR2	0.400000	2	0	0.448000
RMAH	DEALS	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:12.726	RORMAHACNOR2	0.400000	2	0	0.448000
RMAH	REGS	20181108	304.680000	304.680000	700	5	0.420000	0.448000	0.436000	0.420000	0.448000	0.048000	12.000000	0.036000	9.000000	2018-11-08 11:35:25.152	RORMAHACNOR2	0.400000	2	1	0.448000
ROBU	XDS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:14.0	ROROBUACNOR9	0.460000	1	0	0.460000
ROBU	XRS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:11.856	ROROBUACNOR9	0.460000	1	1	0.460000
ROCE	DEALS	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:12.756	ROROCEACNOR1	0.143500	2	0	0.144000
ROCE	REGS	20181108	19456.153000	19456.153000	135695	12	0.142500	0.144000	0.143500	0.142500	0.144500	0.000500	0.350000	0.000000	0.000000	2018-11-08 17:28:28.916	ROROCEACNOR1	0.143500	2	1	0.144000
ROOF	XDS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:14.099	ROROOFACNOR3	9.000000	1	0	10.000000
ROOF	XRS1	20181108	800.000000	800.000000	80	3	10.000000	10.000000	10.000000	10.000000	10.000000	1.000000	11.110000	1.000000	11.110000	2018-11-08 18:00:01.276	ROROOFACNOR3	9.000000	1	1	10.000000
RORX	XDS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:14.271	RORORXACNOR9	20.000000	1	0	20.000000
RORX	XRS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:11.511	RORORXACNOR9	20.000000	1	1	20.000000
ROSV	XDS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:14.269	ROROSVACNOR1	1.500000	1	0	1.500000
ROSV	XRS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:11.509	ROROSVACNOR1	1.500000	1	1	1.500000
RPH	DEALS	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:12.775	ROIAFRACNOR4	0.284000	2	0	0.284000
RPH	POFSV	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:12.63	ROIAFRACNOR4	0.284000	2	0	0.284000
RPH	REGS	20181108	85764.000000	85764.000000	302000	3	0.282000	0.284000	0.284000	0.282000	0.284000	0.000000	0.000000	0.000000	0.000000	2018-11-08 17:25:51.833	ROIAFRACNOR4	0.284000	2	1	0.284000
RRC	DEALS	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:12.745	ROPTRMACNOR5	0.051400	2	0	0.051800
RRC	REGS	20181108	1533.149200	1533.149200	29712	5	0.049200	0.051800	0.051600	0.049200	0.051800	0.000400	0.780000	0.000200	0.390000	2018-11-08 16:31:34.304	ROPTRMACNOR5	0.051400	2	1	0.051800
RRD	XDS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:14.04	RORRDBACNOR8	0.650000	1	0	0.650000
RRD	XRS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:11.909	RORRDBACNOR8	0.650000	1	1	0.650000
RTRA	DEALS	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:12.768	RORTRAACNOR6	0.296000	2	0	0.296000
RTRA	REGS	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:13.741	RORTRAACNOR6	0.296000	2	1	0.296000
SAP	XDSI	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:12.613	DE0007164600	440.450000	1	0	440.450000
SAP	XRSI	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 17:24:17.109	DE0007164600	440.450000	1	1	440.450000
SATU	XDS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:14.339	ROSATUACNOR8	8.600000	1	0	8.600000
SATU	XRS1	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:11.613	ROSATUACNOR8	8.600000	1	1	8.600000
SBG20	XDB	20181108	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-08 00:00:14.553	ROSBBGDBC017	108.000000	1	0	106.160000
SBG20	XRB	20181108	5354.440000	5354.440000	50	2	106.160000	106.150000	106.160000	106.150000	106.160000	-1.850000	-1.710000	-1.840000	-1.700000	2018-11-08 17:23:22.224	ROSBBGDBC017	108.000000	1	1	106.160000
